lux,r,g,b,decision
11.3,180,230,127,RED
8.9,152,137,151,OFF
11.4,165,132,120,OFF
22.7,200,134,111,OFF
18.0,96,105,103,OFF
11.2,136,127,104,OFF
19.5,119,173,136,OFF
16.2,165,134,127,OFF
23.1,199,99,111,OFF
9.8,126,94,172,WHITE
12.8,54,112,0,OFF
12.3,133,133,133,OFF
3.7,186,175,141,OFF
17.8,171,78,158,OFF
17.5,167,117,110,OFF
15.4,138,135,121,OFF
13.5,98,59,151,OFF
4.1,170,98,171,OFF
12.0,116,104,101,WHITE
12.7,237,99,123,OFF
9.0,173,137,179,OFF
14.1,126,124,29,OFF
18.6,125,108,85,BOTH
30.5,146,146,170,OFF
16.8,140,196,156,RED
17.5,195,193,133,OFF
14.8,157,56,95,OFF
0.1,120,152,78,OFF
15.2,226,123,89,OFF
15.9,152,136,174,OFF
35.1,181,114,88,OFF
13.9,125,134,117,OFF
17.8,164,135,83,OFF
15.1,162,107,146,OFF
6.1,74,95,91,WHITE
24.5,231,112,109,WHITE
21.4,201,139,46,OFF
21.7,134,153,49,BOTH
8.1,105,162,113,OFF
26.6,164,111,60,OFF
4.2,153,141,195,OFF
20.1,164,167,31,OFF
32.9,157,174,81,OFF
7.5,170,127,113,OFF
10.9,208,121,98,OFF
16.2,172,137,69,OFF
11.4,108,86,75,RED
3.0,204,122,73,WHITE
15.9,216,158,101,OFF
6.9,255,154,189,OFF
19.2,105,119,116,OFF
8.0,159,138,159,OFF
27.8,66,98,132,OFF
9.1,172,157,156,OFF
12.8,128,127,2,OFF
21.9,227,119,101,OFF
5.6,119,116,164,BOTH
17.2,82,127,90,RED
25.8,131,113,182,OFF
2.5,70,155,171,OFF
16.9,180,115,94,WHITE
17.5,67,191,93,OFF
21.6,151,186,73,OFF
5.5,66,95,88,OFF
4.8,137,132,64,OFF
19.6,216,105,129,RED
17.8,164,117,55,OFF
17.4,115,207,136,OFF
18.2,148,118,137,OFF
10.0,150,144,47,OFF
17.2,169,150,174,OFF
17.7,95,91,133,RED
9.7,173,97,142,OFF
30.3,41,83,83,OFF
19.2,124,96,137,OFF
5.9,130,20,157,OFF
20.6,175,151,109,OFF
7.6,151,209,191,OFF
21.7,93,135,114,OFF
24.7,110,75,157,OFF
8.8,158,105,124,OFF
23.1,147,112,136,BOTH
18.7,126,91,47,OFF
22.0,130,163,127,OFF
30.6,178,161,84,OFF
13.4,129,85,79,OFF
9.4,146,158,181,OFF
8.3,237,188,104,OFF
8.9,93,203,73,OFF
14.8,75,240,98,OFF
18.1,181,95,61,OFF
17.6,122,238,169,OFF
22.0,137,116,85,OFF
15.5,118,107,133,OFF
27.0,139,142,166,RED
13.3,214,107,93,WHITE
37.1,182,145,133,OFF
20.4,184,79,72,OFF
8.5,93,121,209,OFF
6.8,104,179,149,OFF
19.2,36,127,105,OFF
13.6,117,135,82,OFF
21.1,188,148,108,OFF
19.2,170,175,99,OFF
14.8,141,66,189,OFF
8.6,149,152,64,RED
3.3,122,119,118,OFF
11.8,158,136,112,OFF
22.2,180,170,108,OFF
17.1,85,84,108,OFF
5.4,162,91,108,OFF
16.8,187,55,147,OFF
18.5,133,109,137,OFF
8.3,178,181,129,OFF
16.6,255,125,0,OFF
15.9,146,78,124,OFF
6.3,165,111,47,OFF
18.3,120,73,138,OFF
19.9,157,87,171,OFF
24.0,168,145,76,OFF
23.8,158,85,102,OFF
4.4,109,172,89,WHITE
7.9,158,127,161,OFF
19.5,208,133,116,WHITE
19.5,168,119,181,OFF
19.5,188,159,129,BOTH
46.2,140,160,122,OFF
20.0,180,143,115,BOTH
24.5,161,151,145,OFF
23.0,112,122,44,OFF
20.6,162,150,116,OFF
12.9,110,117,110,BOTH
21.5,124,130,141,OFF
9.2,157,119,105,OFF
13.5,162,112,72,OFF
11.5,102,103,113,OFF
16.0,192,148,70,OFF
33.9,173,180,37,RED
0.5,121,175,141,BOTH
20.9,88,81,135,WHITE
2.5,144,179,131,OFF
11.6,132,117,164,OFF
24.1,154,153,86,OFF
15.9,135,95,56,OFF
6.8,69,135,110,OFF
9.7,134,142,99,RED
20.8,137,73,79,OFF
9.6,175,153,109,WHITE
17.1,122,181,88,WHITE
15.8,217,123,40,OFF
10.2,73,182,95,BOTH
32.5,202,122,68,OFF
20.5,141,162,122,OFF
0.0,184,45,87,OFF
16.9,153,222,156,OFF
10.1,195,187,176,OFF
22.2,134,119,139,OFF
9.1,106,54,51,OFF
14.5,207,141,172,OFF
19.4,145,74,175,OFF
22.3,159,147,113,OFF
5.8,199,145,165,OFF
12.7,108,94,91,OFF
11.6,174,173,39,OFF
10.2,126,161,83,OFF
29.5,144,167,181,WHITE
18.6,153,130,54,OFF
5.3,90,75,112,OFF
22.7,118,167,114,OFF
32.4,204,119,92,OFF
23.6,185,76,95,OFF
3.2,147,182,115,OFF
11.5,159,210,90,RED
25.5,138,128,56,RED
9.7,204,213,121,OFF
18.9,142,133,155,WHITE
21.6,159,115,147,OFF
8.0,196,105,81,BOTH
14.9,119,193,63,OFF
0.0,212,100,101,OFF
7.2,88,158,174,OFF
13.4,215,108,138,OFF
5.4,135,112,140,RED
28.4,140,169,148,OFF
4.0,74,115,129,OFF
11.9,131,114,117,OFF
16.4,108,173,139,OFF
26.9,125,191,91,OFF
3.9,144,154,57,BOTH
24.7,188,105,141,WHITE
15.5,158,110,161,OFF
7.5,162,133,68,OFF
19.1,106,142,145,OFF
17.0,114,92,179,RED
10.6,222,157,112,WHITE
16.0,120,133,80,OFF
12.3,216,64,117,RED
16.3,140,94,91,OFF
20.7,150,110,88,OFF
28.1,193,127,130,WHITE
5.5,201,202,49,OFF
32.4,145,139,56,OFF
0.0,134,97,113,OFF
14.2,147,138,112,OFF
20.1,163,116,126,OFF
17.6,185,142,186,WHITE
10.4,150,152,117,OFF
13.7,175,176,136,RED
11.5,215,129,74,OFF
10.7,165,193,143,OFF
22.2,162,165,92,BOTH
18.2,89,103,115,OFF
9.9,44,214,108,OFF
22.6,165,142,153,OFF
17.8,146,98,61,OFF
21.9,129,193,23,OFF
20.4,159,209,104,WHITE
8.8,147,128,131,BOTH
10.9,195,110,119,OFF
21.4,153,123,161,RED
20.3,120,157,130,RED
15.2,189,179,90,OFF
16.3,141,152,21,OFF
25.6,171,134,103,OFF
10.7,131,187,153,OFF
19.8,124,118,97,OFF
13.8,153,169,114,OFF
13.7,150,119,129,OFF
24.2,169,146,72,OFF
22.0,139,125,137,OFF
21.9,76,128,177,OFF
25.8,132,115,106,OFF
15.6,182,181,68,RED
20.8,138,102,110,OFF
12.9,140,101,25,RED
18.0,189,211,126,BOTH
14.4,121,167,130,RED
16.2,88,38,179,RED
20.1,143,108,105,WHITE
8.9,130,60,129,OFF
32.1,111,93,79,BOTH
7.4,143,9,98,RED
5.7,169,124,52,RED
24.6,149,86,105,OFF
21.7,162,132,100,OFF
20.4,222,67,124,OFF
20.4,136,133,88,OFF
15.3,161,114,116,OFF
8.2,129,187,99,OFF
16.0,116,184,99,OFF
10.0,126,160,116,OFF
23.2,131,117,114,OFF
14.2,164,206,143,OFF
8.8,244,70,108,OFF
12.8,121,76,99,OFF
18.7,133,126,105,OFF
10.9,147,216,84,OFF
8.8,166,122,98,BOTH
17.3,160,123,193,RED
17.4,201,74,77,RED
11.3,52,166,102,OFF
11.6,54,166,97,OFF
17.2,130,160,103,OFF
3.8,194,106,99,BOTH
4.1,87,103,124,RED
9.7,29,80,45,OFF
13.7,173,133,153,RED
17.9,159,88,137,OFF
27.2,106,85,64,OFF
22.2,110,113,23,OFF
14.1,111,111,74,OFF
15.2,154,109,103,OFF
7.4,125,148,214,RED
15.2,170,133,134,OFF
13.1,35,119,41,OFF
18.0,115,137,85,WHITE
8.8,105,92,110,OFF
19.5,139,134,123,OFF
27.6,128,135,61,OFF
14.5,182,72,107,OFF
18.6,75,168,84,OFF
20.9,152,96,69,OFF
12.2,172,133,123,OFF
17.2,224,174,143,OFF
15.5,130,165,146,OFF
16.2,163,131,135,WHITE
9.2,77,116,93,RED
15.6,54,166,141,OFF
19.4,184,156,125,OFF
27.0,149,106,118,OFF
23.1,197,99,88,OFF
32.6,95,50,93,OFF
9.3,171,136,115,RED
22.4,225,127,209,OFF
16.9,167,173,124,OFF
32.9,161,143,88,WHITE
8.9,150,181,80,WHITE
8.7,87,103,93,OFF
10.6,204,173,198,OFF
0.0,125,109,97,OFF
11.2,170,160,148,RED
9.3,87,74,98,OFF
16.6,102,139,123,OFF
18.1,207,54,144,BOTH
30.4,136,119,90,OFF
23.0,208,147,87,WHITE
10.8,147,110,178,BOTH
8.2,76,89,151,OFF
19.3,185,162,144,RED
4.8,126,126,144,OFF
30.0,178,111,131,RED
24.8,151,131,192,RED
11.6,88,231,114,OFF
1.7,156,174,135,RED
26.2,238,174,55,RED
14.5,169,146,80,OFF
25.3,147,136,65,OFF
2.6,193,38,163,OFF
10.6,158,104,12,OFF
15.4,158,111,97,BOTH
15.8,106,58,0,RED
11.8,159,85,80,OFF
20.4,191,54,93,OFF
6.9,116,128,167,OFF
14.3,207,161,128,OFF
16.4,146,172,80,OFF
19.5,114,146,155,OFF
21.1,190,93,113,OFF
6.4,138,56,114,BOTH
3.1,180,62,65,OFF
25.6,138,81,73,OFF
18.0,147,96,80,OFF
9.4,170,124,114,BOTH
27.8,161,91,116,RED
16.3,70,143,173,WHITE
24.8,105,121,128,OFF
15.9,187,130,6,OFF
31.9,144,173,123,OFF
29.4,129,84,55,OFF
13.4,95,146,74,OFF
23.2,106,129,80,WHITE
20.6,69,117,86,OFF
26.3,146,164,58,OFF
7.7,126,163,121,RED
20.9,111,93,57,OFF
23.9,147,123,127,OFF
1.3,164,140,201,OFF
5.9,234,119,60,OFF
0.0,89,152,101,RED
13.2,196,140,13,OFF
21.1,189,200,101,WHITE
27.4,118,71,138,RED
16.0,158,125,141,WHITE
28.4,131,95,116,OFF
4.4,157,153,148,OFF
1.8,210,68,213,OFF
14.9,174,143,180,OFF
18.5,170,106,92,WHITE
15.1,132,102,55,OFF
0.0,90,74,96,RED
14.7,141,112,75,OFF
5.0,198,171,130,OFF
20.7,88,129,66,WHITE
18.3,107,154,110,OFF
7.9,155,194,146,RED
11.3,110,140,109,OFF
6.9,118,108,75,BOTH
14.9,133,148,159,OFF
23.0,95,109,38,RED
7.5,111,110,100,OFF
19.4,178,71,111,OFF
11.2,97,165,113,WHITE
9.1,86,115,120,WHITE
14.5,124,137,137,OFF
7.1,179,90,111,OFF
11.0,142,146,98,OFF
5.8,131,100,96,OFF
31.1,151,124,88,RED
15.7,80,163,144,OFF
9.8,170,160,87,OFF
17.1,165,129,146,OFF
14.5,133,62,113,OFF
13.6,190,245,92,RED
20.3,104,197,137,BOTH
21.4,195,157,84,OFF
11.2,156,101,138,OFF
10.8,136,125,121,OFF
13.2,149,109,89,OFF
0.0,145,178,133,OFF
3.3,199,140,134,OFF
26.3,107,100,158,OFF
28.5,119,112,151,OFF
13.4,191,173,132,WHITE
20.0,126,191,68,RED
17.9,186,188,209,BOTH
40.0,218,159,57,OFF
24.3,134,120,150,OFF
14.4,177,5,130,OFF
7.8,103,141,66,OFF
2.6,180,130,108,OFF
17.0,158,135,109,OFF
9.3,169,132,164,OFF
4.0,124,79,84,OFF
10.2,83,151,102,OFF
6.7,170,154,20,OFF
28.9,67,156,181,OFF
22.4,137,166,70,OFF
15.3,187,153,125,RED
27.2,157,114,109,OFF
16.0,228,127,109,RED
8.5,191,133,144,OFF
27.6,123,134,178,OFF
19.7,151,168,122,RED
7.1,148,154,138,OFF
13.9,86,209,125,OFF
8.4,112,214,153,WHITE
4.3,127,133,94,OFF
22.8,68,0,155,OFF
30.7,152,177,156,RED
4.2,140,109,155,OFF
19.9,83,99,86,OFF
10.2,166,114,106,OFF
11.5,178,113,122,RED
10.7,159,153,58,OFF
8.5,137,70,175,OFF
15.8,173,88,112,OFF
8.8,177,143,124,WHITE
17.6,162,154,90,OFF
15.0,117,154,60,RED
13.5,161,99,89,OFF
8.1,198,92,121,OFF
10.8,126,110,139,RED
21.4,234,139,119,BOTH
19.4,129,187,126,OFF
7.6,151,51,99,OFF
16.2,123,121,132,WHITE
21.4,159,79,171,OFF
2.1,80,66,140,OFF
19.7,128,167,144,OFF
10.1,106,151,124,RED
20.0,155,147,53,RED
9.3,190,165,71,WHITE
1.0,176,111,130,OFF
2.4,55,113,112,OFF
15.8,232,214,130,OFF
17.5,162,120,179,OFF
8.2,119,158,141,OFF
20.5,156,130,162,OFF
2.1,157,59,116,OFF
14.9,123,51,81,OFF
5.7,158,107,110,OFF
10.2,125,170,81,RED
15.8,133,160,174,OFF
8.5,122,165,144,OFF
12.3,92,92,133,OFF
23.4,156,192,161,RED
10.8,173,93,33,OFF
22.1,170,138,136,OFF
6.4,183,129,61,OFF
19.6,163,123,112,OFF
26.9,128,181,100,RED
0.0,183,103,139,OFF
9.0,95,78,121,OFF
20.0,114,130,166,OFF
13.8,111,114,89,OFF
18.4,193,255,140,OFF
10.6,188,156,119,OFF
16.1,169,114,48,OFF
14.1,193,89,76,RED
24.7,114,58,107,RED
17.4,164,90,156,OFF
18.1,145,134,131,OFF
12.1,184,184,66,OFF
11.5,145,173,107,OFF
11.9,134,138,192,OFF
18.5,171,117,117,BOTH
12.0,185,140,100,OFF
17.7,123,110,132,WHITE
32.0,147,196,143,OFF
22.4,107,122,95,OFF
12.8,50,126,132,OFF
25.0,158,45,100,OFF
12.1,174,122,141,OFF
0.0,160,162,119,WHITE
7.3,72,89,132,RED
0.4,136,101,83,OFF
12.6,61,160,80,OFF
15.5,205,73,150,WHITE
28.8,106,170,109,RED
18.0,200,109,124,OFF
13.6,188,115,100,OFF
22.0,114,87,148,OFF
0.0,104,144,89,OFF
17.3,164,224,107,OFF
21.6,116,160,143,OFF
3.6,154,97,159,OFF
24.5,130,173,92,OFF
18.1,78,118,190,OFF
12.1,60,182,125,BOTH
20.4,159,161,71,BOTH
33.5,127,17,127,OFF
16.8,128,91,97,OFF
17.4,178,166,130,OFF
11.7,197,136,111,OFF
8.6,139,90,115,OFF
22.0,136,105,77,OFF
8.6,170,57,152,OFF
16.0,95,126,67,OFF
11.6,159,215,69,OFF
19.2,172,161,127,RED
18.1,177,214,176,OFF
23.7,72,164,99,OFF
11.3,119,169,140,OFF
13.2,114,205,155,OFF
7.6,154,144,145,OFF
11.8,169,123,100,RED
18.4,210,169,70,OFF
21.4,130,185,26,RED
8.0,130,111,102,OFF
22.3,196,102,159,OFF
26.2,162,135,68,OFF
18.7,201,162,140,OFF
30.4,161,160,75,OFF
9.2,103,75,117,WHITE
5.4,96,203,140,OFF
1.2,87,105,87,OFF
27.3,176,120,119,WHITE
20.6,197,95,96,OFF
14.9,224,233,140,OFF
17.6,184,139,122,OFF
6.4,196,97,115,OFF
34.9,126,163,174,OFF
16.4,103,159,139,OFF
16.3,184,122,85,OFF
21.2,166,162,109,OFF
19.2,154,98,110,OFF
17.2,165,111,116,OFF
9.1,163,53,212,OFF
19.2,201,79,127,BOTH
30.4,202,199,32,OFF
26.1,172,193,91,RED
28.1,184,132,36,OFF
11.3,170,193,100,OFF
7.5,131,124,34,OFF
14.4,180,120,78,RED
15.8,94,132,53,OFF
24.1,192,125,128,RED
1.9,102,121,113,BOTH
27.6,161,174,124,OFF
14.1,116,135,108,OFF
12.0,172,157,58,OFF
7.3,148,169,133,OFF
2.2,86,145,188,OFF
22.0,167,92,129,WHITE
16.0,127,78,96,OFF
5.1,185,135,56,OFF
5.0,150,123,77,OFF
12.7,166,133,130,WHITE
28.7,111,129,155,OFF
13.3,126,229,123,WHITE
3.4,131,79,144,BOTH
13.4,184,53,140,OFF
13.2,217,142,132,OFF
0.0,117,115,87,OFF
15.0,193,142,119,OFF
13.5,63,152,79,OFF
21.0,102,179,113,OFF
30.2,111,72,126,OFF
24.4,95,108,179,OFF
13.2,86,146,61,OFF
6.5,166,159,131,OFF
36.0,141,214,171,OFF
15.9,165,166,142,RED
15.5,177,128,145,OFF
15.2,160,96,136,OFF
17.0,176,108,164,RED
14.2,147,107,70,BOTH
10.8,102,155,58,OFF
11.0,192,140,112,OFF
15.1,126,79,27,OFF
11.0,112,113,161,OFF
9.7,143,163,161,WHITE
16.2,113,143,95,OFF
13.4,133,152,98,RED
27.4,164,144,110,OFF
0.0,164,192,115,OFF
24.1,114,139,118,OFF
25.4,130,115,135,OFF
0.0,193,95,106,OFF
12.7,170,139,150,OFF
12.4,233,36,130,OFF
4.1,197,123,89,RED
9.2,196,122,165,OFF
6.5,94,77,59,RED
29.4,180,94,109,OFF
22.9,148,161,151,RED
25.6,128,139,84,BOTH
21.2,156,134,125,OFF
6.4,188,141,134,WHITE
11.2,170,133,79,OFF
19.3,114,177,110,RED
5.6,179,134,106,OFF
21.1,124,74,91,OFF
13.5,158,192,203,OFF
12.4,138,144,82,OFF
21.1,141,107,152,OFF
18.9,180,82,97,BOTH
12.5,108,145,70,RED
24.7,228,125,117,OFF
6.8,77,190,138,RED
20.3,126,116,149,RED
20.1,165,98,174,OFF
12.9,173,164,229,OFF
18.0,146,165,122,OFF
5.4,147,136,86,WHITE
22.8,166,156,130,RED
13.9,140,128,102,OFF
11.2,206,139,149,OFF
23.8,183,174,61,RED
9.8,185,154,206,WHITE
4.1,111,123,146,RED
3.0,147,182,46,OFF
20.2,138,39,85,OFF
5.2,109,208,145,OFF
29.4,164,64,159,OFF
0.0,128,106,62,RED
29.0,176,128,141,OFF
17.1,107,124,36,RED
14.6,219,168,109,OFF
11.0,114,89,156,RED
18.6,159,140,91,OFF
15.1,181,107,53,OFF
24.2,127,141,118,OFF
16.3,184,127,89,OFF
16.6,100,133,137,BOTH
12.5,208,109,78,OFF
14.9,150,110,82,OFF
17.9,126,141,33,RED
1.7,138,166,119,WHITE
4.6,182,107,106,OFF
21.3,126,96,66,WHITE
16.8,120,153,120,OFF
13.9,141,128,153,OFF
15.5,102,162,104,OFF
18.2,223,95,123,OFF
11.1,127,61,123,OFF
9.2,183,109,65,OFF
17.0,158,100,194,OFF
7.6,110,127,94,RED
18.7,149,105,138,OFF
1.8,181,158,143,BOTH
23.6,142,119,107,RED
19.2,198,135,136,OFF
17.4,191,136,122,OFF
23.2,187,137,57,OFF
28.7,131,129,99,RED
23.5,106,149,88,OFF
0.7,125,99,94,OFF
5.2,158,183,61,WHITE
10.4,172,121,157,OFF
15.6,63,79,176,OFF
19.5,149,137,151,OFF
9.6,156,97,163,WHITE
16.9,139,155,99,WHITE
9.4,201,214,87,OFF
10.5,167,100,82,OFF
4.2,202,142,138,RED
8.0,141,62,121,RED
4.6,187,147,109,RED
7.6,215,96,164,OFF
23.8,202,106,128,WHITE
7.8,106,87,79,OFF
36.4,140,158,86,OFF
19.3,136,168,139,OFF
16.9,169,131,154,OFF
8.5,177,97,134,RED
21.0,116,191,187,OFF
10.8,152,101,177,RED
16.4,69,47,130,OFF
35.9,208,147,79,OFF
14.6,129,87,61,OFF
24.6,152,168,97,OFF
9.8,137,115,142,RED
15.1,196,153,184,OFF
29.5,36,183,129,OFF
10.4,149,83,159,OFF
29.9,145,108,103,RED
21.0,132,127,137,OFF
10.9,219,189,145,OFF
20.4,114,104,34,OFF
23.2,181,107,96,BOTH
20.4,164,148,150,OFF
2.8,200,108,123,OFF
9.6,123,136,65,RED
13.4,120,70,17,OFF
14.8,194,215,98,OFF
20.4,167,78,110,BOTH
16.8,88,117,78,OFF
4.7,128,128,118,OFF
18.4,165,203,132,OFF
20.3,183,79,139,WHITE
19.9,122,206,20,OFF
24.0,33,159,61,OFF
22.1,171,146,101,OFF
19.1,101,92,135,RED
14.8,69,152,132,OFF
2.1,36,102,131,OFF
18.8,182,178,97,OFF
17.1,155,92,100,OFF
17.6,141,125,84,RED
5.2,205,108,143,OFF
6.8,175,92,76,RED
23.8,215,158,146,OFF
15.1,94,150,121,RED
20.8,148,176,111,OFF
15.6,85,61,87,OFF
15.6,141,171,59,BOTH
22.9,140,226,87,BOTH
11.3,175,112,100,OFF
16.2,152,202,19,OFF
11.7,175,120,105,OFF
11.9,178,77,149,WHITE
12.9,236,118,135,OFF
17.2,137,170,93,OFF
11.6,112,98,114,OFF
25.4,160,107,91,BOTH
8.2,118,152,118,OFF
13.9,209,130,173,OFF
11.9,138,152,151,OFF
27.0,127,139,133,OFF
17.0,131,148,93,OFF
23.6,179,113,142,WHITE
3.5,143,139,46,RED
17.5,124,94,103,OFF
22.5,217,179,136,RED
16.1,115,105,142,OFF
23.9,151,173,139,OFF
11.3,176,121,124,BOTH
26.7,84,137,105,OFF
33.8,169,111,134,OFF
12.5,107,91,75,BOTH
11.8,183,63,79,OFF
27.0,111,89,115,RED
28.0,177,117,119,WHITE
11.2,194,138,41,OFF
12.0,184,168,130,OFF
13.1,160,113,143,OFF
4.6,140,96,109,OFF
8.1,127,74,206,OFF
7.4,209,148,86,RED
9.3,122,183,98,OFF
15.1,108,178,97,OFF
17.3,176,157,110,OFF
27.8,118,154,100,OFF
7.4,112,195,57,RED
23.3,92,142,91,OFF
13.7,130,154,109,RED
15.0,146,117,161,OFF
20.8,159,77,199,OFF
6.4,188,103,165,OFF
18.4,171,129,82,OFF
16.7,142,132,85,OFF
19.3,142,204,106,OFF
17.7,170,133,183,WHITE
35.0,201,175,106,OFF
